Name,Team,Pos,VOR2,Points,Ceiling,Floor,AAV,Risk,Image
LeVeon Bell,PIT,RB,176.3838915,357.3811111,384.6774972,330.2549018,61.7,4.136425733,
Todd Gurley,LAR,RB,167.9391033,348.9363229,368.2291185,325.4399962,63.1,3.470627962,
David Johnson,ARI,RB,152.8227178,333.8199374,351.8592854,307.8,57.5,4.247146445,
Antonio Brown,PIT,WR,133.9833275,326.5282184,350.3968043,295.0946091,57.3,3.05073754,
Alvin Kamara,NO,RB,124.2581664,305.255386,323.0223983,278.7786283,51.3,3.66864686,
Ezekiel Elliott,DAL,RB,122.8756133,303.872833,329.339496,270.999,59.5,3.927662167,
DeAndre Hopkins,HOU,WR,105.1573315,297.7022223,332.2425862,262.925,48.8,3.158216222,
Odell Beckham,NYG,WR,104.9673324,297.5122233,338.0572465,253.651,47.5,3.104476881,
Julio Jones,ATL,WR,102.8937396,295.4386305,311.9803249,273.97,49.1,3.140303109,
Aaron Rodgers,GB,QB,101.3865856,395.148149,419.1660721,360.5849246,21,4.130683296,
Saquon Barkley,NYG,RB,95.13706553,276.1342852,297.3330273,240.942,55.2,4.128349254,
Rob Gronkowski,NE,TE,93.20268178,241.9085196,252.3699096,222.4,35,3.65387112,
Melvin Gordon,LAC,RB,93.08056077,274.0777804,296.071266,227.7805761,43.9,4.245995894,
Kareem Hunt,KC,RB,92.27192116,273.2691408,282.6883299,255.2486283,46.1,3.776318501,
Michael Thomas,NO,WR,87.96995276,280.5148436,294.6809299,263.7514704,39.8,3.140303109,
Keenan Allen,LAC,WR,84.73146176,277.2763526,288.8075015,253.684614,40.7,3.140303109,
Leonard Fournette,JAC,RB,81.8050856,262.8023052,278.7410198,240.8696022,47.7,3.387179969,
Travis Kelce,KC,TE,80.73850687,229.4443447,243.3565948,206.632,28.3,3.726008871,
Christian McCaffrey,CAR,RB,79.48843468,260.4856543,268.4087414,249.597,38.1,2.735005585,
Tom Brady,NE,QB,76.11787178,369.8794352,381.7732495,344.7564093,15.6,4.237395365,
Russell Wilson,SEA,QB,75.66868009,369.4302436,390.3932932,345.4655693,7.7,4.102670382,
Dalvin Cook,MIN,RB,71.4100364,252.407256,266.6225868,231.8985734,44.2,3.425619793,
Deshaun Watson,HOU,QB,69.70909661,363.4706601,391.3484417,311.38669,10.9,5.51506139,
Davante Adams,GB,WR,65.34787989,257.8927708,272.3763825,238.715,35,3.176129336,
A.J. Green,CIN,WR,64.89616484,257.4410557,269.1636306,232.096,37.9,3.149259665,
Mike Evans,TB,WR,57.59010124,250.1349921,273.3219002,224.964,31.6,3.247781791,
Zach Ertz,PHI,TE,56.56536947,205.2712073,218.6501231,183.3815501,22.7,3.702234979,
Devonta Freeman,ATL,RB,55.98664431,236.9838639,246.8268992,225.57,36.2,2.897618484,
Jaguars,JAC,DST,55.52232488,132.4870426,140.507476,111.2,6.7,0.936018287,
Tyreek Hill,KC,WR,55.32901498,247.8739059,268.829469,228.8099226,24.7,3.319434246,
Drew Brees,NO,QB,53.95014756,347.711711,364.6196261,335.3577229,6.1,4.679938554,
Cam Newton,CAR,QB,51.12020283,344.8817663,359.6568775,327.4542798,7.5,3.947634187,
LeSean McCoy,BUF,RB,49.0414141,230.0386337,252.9075678,164.5446064,32.9,5.275638895,
Eagles,PHI,DST,47.72635609,124.6910738,144.3006745,72.53,3.1,4.932591938,
Jerick McKinnon,SF,RB,46.77877391,227.7759935,241.8902681,204.376,26.5,3.456612099,
Carson Wentz,PHI,QB,42.99864227,336.7602057,360.864484,297.7810706,6.9,5.485734517,
Matthew Stafford,DET,QB,41.07598609,334.8375496,348.8342269,316.0763649,2.6,4.186962546,
Rams,LAR,DST,40.92770325,117.892421,129.3936695,82.9,3.9,4.27392914,
Larry Fitzgerald,ARI,WR,40.06423687,232.6091278,242.3685607,210.8064191,25.8,3.328390803,
Doug Baldwin,SEA,WR,38.5342241,231.079115,255.1284727,186.2532867,21.6,3.256738348,
Ben Roethlisberger,PIT,QB,37.57469394,331.3362574,343.823775,303.8616132,2.8,4.376405078,
Chargers,LAC,DST,36.85478565,113.8195034,139.3766497,70.4,1.5,5.947435003,
Adam Thielen,MIN,WR,36.61094136,229.1558322,250.1523057,202.7051303,26.1,3.355260474,
Joe Mixon,CIN,RB,36.5515998,217.5488194,243.0598319,176.207,26.2,4.617731595,
Vikings,MIN,DST,36.40316689,113.3678846,125.5994852,85,2.8,2.008301994,
Andrew Luck,IND,QB,35.95196858,329.7135321,353.2542167,288.1124459,4.2,5.226393367,
Amari Cooper,OAK,WR,35.61381548,228.1587064,242.4064279,197.71,18.9,3.373173588,
Stefon Diggs,MIN,WR,35.5443611,228.089252,237.0353914,208.9392746,25.1,3.301521132,
Ravens,BAL,DST,35.51222201,112.4769398,126.9047258,58.1,1.6,6.192389772,
Matt Ryan,ATL,QB,34.24654553,328.008109,338.4817003,305.6355144,2.8,4.396338834,
Philip Rivers,LAC,QB,33.97889364,327.7404571,334.3884236,299.9285048,2.1,4.327878399,
Kirk Cousins,MIN,QB,33.68590628,327.4474697,341.1836152,301.1372899,3.8,4.143765977,
Evan Engram,NYG,TE,33.31778976,182.0236276,196.1066195,163.0819338,6.9,3.854542331,
Jordan Howard,CHI,RB,32.24133782,213.2385575,231.1339053,181.7876543,25.8,3.712796147,
T.Y. Hilton,IND,WR,32.23725668,224.7821476,246.3727028,177.545,27,3.22091212,
Jarvis Landry,CLE,WR,32.09578048,224.6406714,238.9156605,181.218206,16.4,3.408999815,
Greg Olsen,CAR,TE,31.9167318,180.6225697,196.6617271,146.6289077,8.9,4.322726879,
Jimmy Garoppolo,SF,QB,31.56637018,325.3279337,334.953938,298.4503089,3.2,4.502096255,
JuJu Smith-Schuster,PIT,WR,30.18647738,222.7313683,242.7863432,205.85424,14.5,3.426912929,
Jimmy Graham,GB,TE,30.11983003,178.8256679,208.0661934,144.146,9.3,5.115378035,
Demaryius Thomas,DEN,WR,29.98069783,222.5255887,228.8048315,209.6273388,20.2,3.408999815,
Alex Smith,WAS,QB,29.96498944,323.7265529,335.2537102,303.9603258,2,4.484627293,
Golden Tate,DET,WR,27.63480227,220.1796932,232.8963786,175.418834,17.1,3.382130144,
Justin Tucker,BAL,K,27.14019055,152.9144467,166.0420183,130.0198579,2.2,3.055299344,
Delanie Walker,TEN,TE,26.45960939,175.1654473,185.7769078,150.5812346,6.5,3.793817479,
Patriots,NE,DST,26.38944659,103.3541643,109.7495272,83.46918258,1.3,2.49898078,
Kenyan Drake,MIA,RB,26.25829974,207.2555194,230.2031163,167.9397453,16.3,4.53945475,
Greg Zuerlein,LAR,K,25.91256935,151.6868255,167.6408245,124.3,3.1,2.886208926,
Jared Goff,LAR,QB,21.78729854,315.548862,326.5837897,296.0848011,2.9,4.20378486,
Allen Robinson,CHI,WR,20.845035,213.3899259,234.6984688,165.8327866,18.9,3.632913737,
Falcons,ATL,DST,20.49884065,97.4635584,110.0917619,59.65884464,NA,5.944584058,
Stephen Gostkowski,NE,K,20.23950723,146.0137634,157.0174818,118.3,3,2.143362582,
Josh Gordon,CLE,WR,18.53717901,211.0820699,228.1067905,167.9034588,17.8,3.579174396,
Patrick Mahomes,KC,QB,18.51081804,312.2723815,328.6188646,281.7475,2.2,4.915687342,
Marvin Jones,DET,WR,16.34280955,208.8877004,222.5309967,181.8173321,13.3,3.391086701,
Chris Boswell,PIT,K,16.26376272,142.0380189,147.05755,130.17,1.6,3.501588034,
Alex Collins,BAL,RB,15.84930378,196.8465234,208.7411646,174.9978601,13.6,3.613264186,
Marcus Mariota,TEN,QB,13.78076579,307.5423293,323.1158947,284.9285048,2.7,4.607520892,
Matt Bryant,ATL,K,13.37845733,139.1527135,147.8444827,126.2,1.3,2.969291817,
Dak Prescott,DAL,QB,13.32900729,307.0905708,327.371714,281.7465,2.8,4.670094593,
Brandin Cooks,LAR,WR,12.28836208,204.833253,227.3311885,183.3595001,14.4,3.489608827,
Robbie Gould,SF,K,12.28362443,138.0578806,146.4716704,122.3,1.2,4.00650115,
Kyle Rudolph,MIN,TE,11.70925051,160.4150884,176.1462537,134.703,4.4,4.156038563,
Jordan Reed,WAS,TE,11.65008926,160.3559271,184.7786085,120.4132085,3.7,5.222920735,
Jack Doyle,IND,TE,10.16840835,158.8742462,169.6227354,142.6115733,1.9,3.731084601,
Alshon Jeffery,PHI,WR,8.811698756,201.3565896,235.6790521,167.6281818,14.8,3.659783408,
Julian Edelman,NE,WR,8.258755202,200.8036461,206.6853023,157.2425732,4.1,3.632913737,
Wil Lutz,NO,K,7.218249617,132.9925058,141.6590464,118.5101349,1.2,3.00761532,
Jake Elliott,PHI,K,6.83479154,132.6090477,141.8517541,123.6105023,1.2,3.76052879,
Jay Ajayi,PHI,RB,6.584019141,187.5812388,201.2314243,162.1805213,13.5,3.818059961,
Harrison Butker,KC,K,5.817334577,131.5915908,145.2931413,111.08,1.2,4.060282436,
Blake Bortles,JAC,QB,5.65399966,299.4155631,306.8195658,285.4122121,NA,4.278281557,
Mark Ingram,NO,RB,5.001805692,185.9990253,188.5986362,131.951,10.3,4.379049916,
Broncos,DEN,DST,4.983917755,81.94863551,112.967278,76.01805213,1.3,5.09834308,
Robert Woods,LAR,WR,4.269680867,196.8145718,217.6781036,165.041006,7.9,3.615000623,
Michael Crabtree,BAL,WR,3.251242791,195.7961337,209.6845514,171.4,7.6,3.489608827,
Pierre Garcon,SF,WR,3.204255826,195.7491467,216.2147163,169.5713656,4.5,3.615000623,
Panthers,CAR,DST,2.631937818,79.59665557,100.6054003,60.7,1.1,4.212573521,
Matt Prater,DET,K,1.588407292,127.3626635,134.299375,113.7274809,1.2,3.623173322,
Trey Burton,CHI,TE,0.957458265,149.6632961,165.6884659,118.461,2.2,4.322653506,
Corey Davis,TEN,WR,0.897017725,193.4419086,211.0183265,168.357,6.2,3.462739156,
Chris Hogan,NE,WR,0.370221491,192.9151124,206.5890281,157.777,8.6,3.686653079,
Graham Gano,CAR,K,0.277304437,126.0515606,128.9886292,117.6,1.1,3.095570463,
Steelers,PIT,DST,-0.171202672,76.79351508,118.7072361,61.38518537,1.4,7.8761496,
Lamar Miller,HOU,RB,-1.049177037,179.9480426,194.9842381,143.9351165,9.8,3.840075721,
Robby Anderson,NYJ,WR,-1.267239216,191.2776517,210.5622824,172.011647,3.1,3.668739965,
Josh Lambo,JAC,K,-1.865711729,123.9085445,137.1959,111.9997869,NA,5.098410943,
Seahawks,SEA,DST,-2.460735146,74.50398261,114.5625669,64.16575435,NA,8.432048464,
Derek Carr,OAK,QB,-2.473006327,291.2885571,319.3159707,263.8782579,2.9,5.079174695,
Devin Funchess,CAR,WR,-2.528650198,190.0162407,214.39257,161.5979477,4.7,3.615000623,
Andy Dalton,CIN,QB,-3.180993333,290.5805701,306.8639801,245.566749,NA,5.071141796,
Lions,DET,DST,-3.523622906,73.44109485,82.62912751,65.8,0,3.449378686,
Jameis Winston,TB,QB,-3.811605085,289.9499584,279.3420443,245.6837848,NA,4.463809032,
Dion Lewis,TEN,RB,-3.952628655,177.044591,198.5921503,147.383,8.3,4.138703539,
Derrick Henry,TEN,RB,-4.636113914,176.3611057,192.9275258,156.2631824,15.8,3.867449654,
Emmanuel Sanders,DEN,WR,-5.014196529,187.5306944,213.2531819,154.868,7.7,3.4537826,
Bears,CHI,DST,-5.161354425,71.80336333,96.25980921,59.73370391,NA,4.778883402,
Ryan Succop,TEN,K,-5.387513694,120.3867425,130.1186514,108.9967859,NA,4.263913966,
Jamison Crowder,WAS,WR,-5.458179624,187.0867113,203.989579,153.7275968,1.8,3.507521941,
Saints,NO,DST,-5.797770604,71.16694715,79.03556221,60.8,1.1,2.262246889,
Adam Vinatieri,IND,K,-5.938549458,119.8357067,127.8890231,109.2,1.3,3.993003398,
Texans,HOU,DST,-6.153921556,70.8107962,95.59172835,62.9,1.7,2.668070703,
Mason Crosby,GB,K,-6.191922986,119.5823332,133.4068116,88.4,1.4,3.60567571,
Royce Freeman,DEN,RB,-6.850097919,174.1471217,205.197205,114.5931824,15.7,5.755263427,
Redskins,WAS,DST,-7.545608656,69.4191091,89.12036515,50.86650206,NA,5.246498603,
Chris Thompson,WAS,RB,-7.725218597,173.272001,193.4140351,154.1958601,2.8,4.617319892,
Cooper Kupp,LAR,WR,-7.864585265,184.6803056,197.8535285,164.8103292,3.1,3.48065227,
Titans,TEN,DST,-7.899905451,69.0648123,104.8283759,65,1.2,6.465099534,
Cardinals,ARI,DST,-8.097281455,68.8674363,95.70858941,49.7,1.1,6.390718135,
Case Keenum,DEN,QB,-9.118408806,284.6431547,297.1569314,263.4269547,NA,4.392060449,
Packers,GB,DST,-9.212043022,67.75267473,84.43699062,55.42065844,NA,7.4248989,
Tevin Coleman,ATL,RB,-9.243057818,171.7541618,189.7916514,149.7841799,4.7,3.924611953,
Dan Bailey,DAL,K,-10.75520508,115.0190511,125.0992533,103.2781798,1.5,4.598868776,
Chiefs,KC,DST,-10.92988096,66.0348368,89.73456815,52,NA,7.442608015,
George Kittle,SF,TE,-11.12586661,137.5799713,148.2728575,123.0370782,1.4,4.009806835,
Duke Johnson,CLE,RB,-11.1263102,169.8709094,186.9131073,146.3722085,5.5,4.225008806,
Marquise Goodwin,SF,WR,-11.18970634,181.3551845,209.9072521,100.9431824,4.7,3.704566192,
Bills,BUF,DST,-11.37906063,65.58565712,92.90333206,49.4,NA,6.078372699,
Sammy Watkins,KC,WR,-12.14675907,180.3981318,199.0054164,137.916,5.7,3.579174396,
Buccaneers,TB,DST,-12.24343636,64.72128139,72.11014725,46.5,NA,4.107619544,
DeVante Parker,MIA,WR,-13.15113098,179.3937599,213.4236114,148.0449438,2.4,3.829957989,
Dolphins,MIA,DST,-13.38756922,63.57714854,75.35133126,47.6,NA,3.309045974,
Ryan Tannehill,MIA,QB,-13.55013286,280.2114306,297.4453632,232.0449451,NA,4.989659973,
Bengals,CIN,DST,-13.63679804,63.32791971,82.34192931,52.49928669,NA,3.835456234,
Rex Burkhead,NE,RB,-13.72127555,167.2759441,188.4462037,137.8960166,3.9,5.102819136,
Cowboys,DAL,DST,-14.86417811,62.10053965,97.60898523,43.7,0,8.655808045,
Steven Hauschka,BUF,K,-15.0229636,110.7512926,119.6213084,96.5056505,NA,5.192841556,
Eli Manning,NYG,QB,-16.12018707,277.6413764,289.4732734,258.6776749,0,4.271321943,
Marshawn Lynch,OAK,RB,-16.16641099,164.8308086,191.5264546,128.7992867,11.4,4.886388936,
Giants,NYG,DST,-16.33219888,60.63251887,68.28664773,51.0722085,NA,4.079337574,
Eric Ebron,IND,TE,-16.60437472,132.1014631,153.9887888,89.90089171,0,5.035358327,
Randall Cobb,GB,WR,-16.85791911,175.6869718,194.1695302,144.3407819,4.5,3.785175204,
Vance McDonald,PIT,TE,-17.04714061,131.6586973,147.4514216,96.4293446,NA,4.449643177,
David Njoku,CLE,TE,-17.16681187,131.539026,148.1250343,81.814,2.2,4.684522853,
Carlos Hyde,CLE,RB,-17.24524511,163.7519745,187.4806579,139.9450707,2.6,4.998578705,
Sterling Shepard,NYG,WR,-17.46356282,175.0813281,190.6142539,137.592213,2.2,3.632913737,
Sebastian Janikowski,SEA,K,-17.5095116,108.2647446,121.2180875,61.5,NA,4.522123487,
Jared Cook,OAK,TE,-18.52399716,130.1818407,139.6522973,110.6158085,1.5,3.831031926,
